filename,Cohort,Monkey,Tissue,Week,mean,mean.syn,mean.ns,median,se
Run_4_01_Animal_16314,Mtb R,16314,Plasma,3,0.002094257,0.000672194,0.001301332,0.002023958,3.67E-06
Run_4_02_Animal_16314,Mtb R,16314,Plasma nex,8,0.002010416,0.000677272,0.001238683,0.001927887,4.00E-06
Run_4_03_Animal_16314,Mtb R,16314,Peripheral LN,8,0.001833723,0.000585179,0.001168904,0.001776311,5.26E-06
Run_4_04_Animal_16314,Mtb R,16314,Thoracic LN,8,0.002067222,0.000730253,0.001265559,0.001731176,6.64E-06
Run_4_05_Animal_16314,Mtb R,16314,Thoracic LN,8,0.002282936,0.000838112,0.001323223,0.001791636,9.10E-06
Run_4_06_Animal_20615,Mtb R,20615,Plasma,3,0.00206507,0.000640215,0.001344918,0.001821636,4.24E-06
Run_4_07_Animal_20615,Mtb R,20615,Plasma nex,6,0.002545882,0.000958087,0.001511869,0.001939851,5.62E-06
Run_4_08_Animal_20615,Mtb R,20615,Peripheral LN,6,0.002176959,0.000660539,0.001461883,0.001749547,3.13E-06
Run_4_09_Animal_20615,Mtb R,20615,Thoracic LN,6,0.002321269,0.000696833,0.001567387,0.001833349,6.41E-06
Run_4_10_Animal_20615,Mtb R,20615,Thoracic LN,6,0.002348106,0.000677919,0.001604139,0.001893098,6.02E-06
Run_4_11_Animal_3516,Mtb R,3516,Plasma,3,0.001833068,0.000584399,0.00116623,0.001710652,6.90E-06
Run_4_12_Animal_3516,Mtb R,3516,Plasma nex,8,0.002292728,0.00088656,0.001336845,0.001925806,3.14E-06
Run_4_13_Animal_3516,Mtb R,3516,Peripheral LN,9,0.00224269,0.000908078,0.001262335,0.001681834,9.02E-06
Run_4_14_Animal_3516,Mtb R,3516,Thoracic LN,9,0.002371737,0.000566692,0.001733948,0.001623853,7.10E-06
Run_4_15_Animal_3516,Mtb R,3516,Thoracic LN,9,0.002320323,0.000880245,0.001377235,0.001803079,8.17E-06
Run_4_16_Animal_30816,Mtb NR,30816,Plasma,5,0.003119556,0.001225487,0.001811769,0.001902352,4.10E-06
Run_4_17_Animal_30816,Mtb NR,30816,Plasma nex,8,0.003693113,0.001620251,0.001997666,0.001872337,8.22E-06
Run_4_18_Animal_30816,Mtb NR,30816,Peripheral LN,8,0.003043527,0.001112184,0.001831468,0.001682389,1.88E-05
Run_4_19_Animal_30816,Mtb NR,30816,Thoracic LN,8,0.004738244,0.002394698,0.002263694,0.001737167,2.74E-05
Run_4_20_Animal_30816,Mtb NR,30816,Thoracic LN,8,0.00322059,0.001293216,0.001830284,0.001619105,3.55E-05
Run_4_21_Animal_3216,Mtb NR,3216,Plasma,3,0.00257221,0.000567743,0.001924099,0.001776178,4.06E-06
Run_4_22_Animal_3216,Mtb NR,3216,Plasma nex,8,0.00240712,0.000908885,0.001394813,0.001961857,7.83E-06
Run_4_23_Animal_3216,Mtb NR,3216,Peripheral LN,9,0.002286302,0.001073566,0.001152092,0.001693904,7.91E-06
Run_4_24_Animal_3216,Mtb NR,3216,Thoracic LN,9,0.00323573,0.000852183,0.002261094,0.002085106,1.01E-05
Run_5_02_Animal_3816,SIV only,3816,Plasma nex,8,0.002437273,0.000719774,0.001655536,0.001888699,4.10E-06
Run_5_03_Animal_3816,SIV only,3816,Peripheral LN,8,0.002056222,0.000747788,0.001248324,0.001743802,4.82E-06
Run_5_04_Animal_3816,SIV only,3816,Thoracic LN,8,0.00276571,0.000689373,0.002025044,0.001675104,4.85E-06
Run_5_05_Animal_16314,Mtb R,16314,Lung,8,0.002131866,0.000760586,0.001163278,0.001542416,8.68E-06
Run_5_06_Animal_16314,Mtb R,16314,Lung,8,0.00184612,0.00062848,0.001070141,0.001550388,5.66E-06
Run_5_07_Animal_16314,Mtb R,16314,Lung,8,0.002406424,0.001134597,0.001159369,0.001717033,4.54E-06
Run_5_08_Animal_20615,Mtb R,20615,Lung,6,0.002820806,0.0006773,0.002090322,0.001591743,5.43E-06
Run_5_09_Animal_31316,Mtb R,31316,Lung,8,0.00209558,0.000500461,0.001233553,0.001510526,5.30E-06
Run_5_10_Animal_31316,Mtb R,31316,Lung,8,0.001601537,0.00050866,0.001020606,0.001417749,8.11E-06
Run_5_11_Animal_20615,Mtb R,20615,Lung,6,0.00244521,0.000783432,0.001598807,0.001752458,5.58E-06
Run_5_12_Animal_3516,Mtb R,3516,Lung,9,0.001890727,0.000572526,0.00124051,0.001473839,3.27E-05
Run_5_13_Animal_3516,Mtb R,3516,Lung,9,0.001943755,0.00070189,0.001176489,0.001540616,9.80E-06
Run_5_14_Animal_3616,SIV only,3616,Plasma,2,0.002261469,0.000504604,0.001697067,0.001631203,6.16E-06
Run_5_15_Animal_3616,SIV only,3616,Plasma nex,7,0.001907683,0.000777308,0.001055945,0.001514644,5.68E-06
Run_5_16_Animal_3616,SIV only,3616,Peripheral LN,7,0.002011091,0.000771362,0.001173524,0.001691449,8.46E-06
Run_5_17_Animal_3616,SIV only,3616,Thoracic LN,7,0.002489954,0.001305406,0.001123044,0.001590753,9.10E-06
Run_5_18_Animal_3316,SIV only,3316,Plasma nex,7,0.001945904,0.000641383,0.001230402,0.001448522,8.44E-06
Run_5_19_Animal_3316,SIV only,3316,Peripheral LN,7,0.002205722,0.000948965,0.001185219,0.001838421,8.63E-06
Run_5_20_Animal_3316,SIV only,3316,Thoracic LN,7,0.002009076,0.000794008,0.00115152,0.00169746,8.01E-06
Run_5_21_Animal_3816,SIV only,3816,Lung,8,0.002240771,0.000572066,0.001602522,0.001616379,1.02E-05
Run_5_22_Animal_4016,SIV only,4016,Plasma nex,8,0.001894539,0.000624934,0.001147739,0.001656473,8.98E-06
Run_5_23_Animal_4016,SIV only,4016,Thoracic LN,8,0.00233216,0.001016743,0.001166999,0.001725169,9.77E-06
Run_5_24_Animal_4016,SIV only,4016,Lung,8,0.002322139,0.000884894,0.001291605,0.001930502,1.11E-05
Run_6_02_Animal_31316,Mtb R,31316,Plasma,5,0.001910091,0.000637035,0.001206413,0.001811401,6.02E-06
Run_6_03_Animal_31316,Mtb R,31316,Plasma nex,8,0.002032295,0.00073358,0.001215229,0.001783637,5.60E-06
Run_6_04_Animal_31316,Mtb R,31316,Peripheral LN,8,0.002067065,0.000842746,0.001156659,0.001554838,2.34E-05
Run_6_05_Animal_31316,Mtb R,31316,Thoracic LN,8,0.002015673,0.000733651,0.001204983,0.00173913,1.84E-05
Run_6_06_Animal_31316,Mtb R,31316,Thoracic LN,8,0.00229671,0.000540789,0.001690174,0.001712329,9.38E-06
Run_6_07_Animal_16314,Mtb R,16314,Lung,8,0.002011634,0.000722526,0.001179921,0.001553892,2.39E-05
Run_6_08_Animal_16314,Mtb R,16314,Thoracic LN,8,0.001999808,0.000610938,0.001296425,0.001806685,2.21E-05
Run_6_09_Animal_20615,Mtb R,20615,Lung,6,0.002650188,0.000737714,0.001831487,0.001789531,1.72E-05
Run_6_10_Animal_20615,Mtb R,20615,Lung,6,0.002743571,0.001453396,0.001233186,0.001587707,7.89E-06
Run_6_11_Animal_20615,Mtb R,20615,Lung,6,0.002611477,0.000717288,0.001807349,0.001562787,1.62E-05
Run_6_13_Animal_3516,Mtb R,3516,Lung,9,0.001777349,0.000514334,0.001164926,0.001275278,2.49E-05
Run_6_14_Animal_3516,Mtb R,3516,Lung,9,0.002046097,0.000653778,0.001312261,0.001466583,3.03E-05
Run_6_15_Animal_3116,Mtb NR,3116,Plasma,3,0.002008318,0.00065331,0.001275979,0.001934367,5.49E-06
Run_6_16_Animal_3116,Mtb NR,3116,Plasma nex,8,0.00199424,0.00068542,0.00124931,0.001742543,6.44E-06
Run_6_17_Animal_3116,Mtb NR,3116,Peripheral LN,8,0.002232546,0.000689027,0.001428632,0.00165502,2.90E-05
Run_6_18_Animal_3116,Mtb NR,3116,Thoracic LN,8,0.002217908,0.000691969,0.001399052,0.001455075,5.86E-05
Run_6_19_Animal_3116,Mtb NR,3116,Lung,8,0.001999912,0.000680346,0.001242947,0.001598958,1.50E-05
Run_6_20_Animal_3116,Mtb NR,3116,Thoracic LN,8,0.001984572,0.000634711,0.001292018,0.001557939,4.22E-05
Run_6_21_Animal_3216,Mtb NR,3216,Thoracic LN,9,0.001973949,0.000728315,0.001187052,0.001709597,1.67E-05
Run_6_22_Animal_3216,Mtb NR,3216,Lung,9,0.001988986,0.000706789,0.001200505,0.001702016,1.36E-05
Run_6_23_Animal_30816,Mtb NR,30816,Thoracic LN,8,0.002728916,0.001077233,0.001558654,0.001168224,6.53E-05
Run_6_24_Animal_4016,SIV only,4016,Peripheral LN,8,0.001835357,0.000550173,0.001135047,0.001678396,8.64E-06